Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647e2860ef81c34d0a2b57e7,5df349624a2ad422886271ff,APPROVED,2023-06-05T18:24:39.712000Z,2023-06-05T19:03:25.190000Z,2023-06-05T19:03:25.734000Z,2023-06-05T19:03:25.658779Z,2326.0,CQEHJXIE,156,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64835898ae2fd49997e3316f,5f1d663104cc4e67a61ccea3,APPROVED,2023-06-09T16:51:43.029000Z,2023-06-09T17:26:51.053000Z,2023-06-09T17:26:51.550000Z,2023-06-09T17:26:51.469758Z,2109.0,CQEHJXIE,155,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64835942ed2b787b68464d6f,6285203510ebe7ff2a0edd88,APPROVED,2023-06-09T16:57:50.970000Z,2023-06-09T17:45:14.513000Z,2023-06-09T17:45:35.285000Z,2023-06-09T17:45:50.342946Z,2844.0,CQEHJXIE,261,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64835959ab4c3e81e09b64cc,5b08e7b31a1b9d00014a964d,APPROVED,2023-06-09T16:54:56.140000Z,2023-06-09T17:20:47.071000Z,2023-06-09T17:20:51.874000Z,2023-06-09T17:20:54.165731Z,1551.0,CQEHJXIE,514,43,Male,Asian,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
64835cf6e7199e45585e63e8,61672a6ad1459b79b74741da,APPROVED,2023-06-09T17:10:19.138000Z,2023-06-09T17:42:30.956000Z,2023-06-09T17:42:31.747000Z,2023-06-09T17:42:31.641337Z,1932.0,CQEHJXIE,46,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64835d7bacc69c2cbf007b1c,6417dfab27377aff2c54af66,APPROVED,2023-06-09T17:12:31.445000Z,2023-06-09T17:48:10.074000Z,2023-06-09T19:58:35.084000Z,2023-06-09T17:50:36.551104Z,2139.0,CK95X1BS,58,28,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6483674a2ca6e991cd0c69be,5c7ceda01d2afc0001f4ad1d,APPROVED,2023-06-09T17:54:21.616000Z,2023-06-09T18:40:22.831000Z,2023-06-09T18:40:23.512000Z,2023-06-09T18:40:23.507211Z,2762.0,CQEHJXIE,928,43,Male,White,Ireland,Ireland,Ireland,English,No,Part-Time
64836c4025874ada6af1abf2,5edede6f7863ed18db5830b1,APPROVED,2023-06-09T18:15:32.199000Z,2023-06-09T18:41:36.196000Z,2023-06-09T18:41:36.728000Z,2023-06-09T18:41:36.642255Z,1564.0,CQEHJXIE,218,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
64836c4705bac612cafc0a36,5eaf5343e4812265ae537ab7,APPROVED,2023-06-09T18:15:38.984000Z,2023-06-09T18:56:35.516000Z,2023-06-09T18:56:36.106000Z,2023-06-09T18:56:36.915101Z,2457.0,CQEHJXIE,248,52,Male,White,Poland,Ireland,Ireland,English,No,DATA_EXPIRED
648383479c160f1719a14978,63207376461ca8b27f375473,APPROVED,2023-06-09T19:53:47.006000Z,2023-06-09T20:40:27.177000Z,2023-06-09T20:40:27.960000Z,2023-06-09T20:40:27.878655Z,2801.0,CQEHJXIE,317,35,Male,White,United States,United Kingdom,United Kingdom,English,No,Full-Time
653e824f3c461bbfd79d7049,6011c91e496f2f16d61402e7,APPROVED,2023-10-29T16:03:33.377000Z,2023-10-29T16:52:23.937000Z,2023-10-29T16:52:24.565000Z,2023-10-29T16:52:24.493553Z,2931.0,CQEHJXIE,253,22,Male,White,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
653e82dd7e907ed12c7b645b,60b21d7d500e787c5c4dae42,APPROVED,2023-10-29T16:05:53.094000Z,2023-10-29T16:47:16.702000Z,2023-10-29T16:47:17.306000Z,2023-10-29T16:47:17.232013Z,2484.0,CQEHJXIE,51,55,Male,White,United Kingdom,Ireland,Ireland,English,Yes,Full-Time
653e83a2d37d6c92ea04667d,5f3dbd5e99a9be1da93d9039,APPROVED,2023-10-29T16:09:09.752000Z,2023-10-29T16:45:00.452000Z,2023-10-29T16:45:01.041000Z,2023-10-29T16:45:00.970035Z,2151.0,CQEHJXIE,608,44,Male,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
653e83a88a4fbd8a5b84a7e4,60fdf9438035960b74eac197,APPROVED,2023-10-29T16:11:10.959000Z,2023-10-29T17:01:23.999000Z,2023-10-29T17:01:24.666000Z,2023-10-29T17:01:24.586131Z,3014.0,CQEHJXIE,236,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
653e83be5f17b2c02e0f9798,615dcb204ee13e6299a50595,APPROVED,2023-10-29T16:09:38.659000Z,2023-10-29T16:50:46.708000Z,2023-10-29T16:50:47.280000Z,2023-10-29T16:50:47.198138Z,2469.0,CQEHJXIE,1302,33,Male,Black,United States,United Kingdom,United States,English,No,Full-Time
653e848761b017aafc4b2cb3,5ebc5a069b10640789d5bc09,APPROVED,2023-10-29T16:13:00.367000Z,2023-10-29T17:10:50.088000Z,2023-10-29T17:10:50.638000Z,2023-10-29T17:10:50.573723Z,3470.0,CQEHJXIE,603,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
653e84b05f5d1e0e323ab67c,58497529bd87380001552f71,APPROVED,2023-10-29T16:13:40.306000Z,2023-10-29T16:49:42.462000Z,2023-10-29T16:49:43.188000Z,2023-10-29T16:49:43.124142Z,2163.0,CQEHJXIE,710,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
653e84dffa601f3952c71ff8,6113d948bcb1f232c85bdcf3,APPROVED,2023-10-29T16:14:23.958000Z,2023-10-29T16:46:41.383000Z,2023-10-29T16:46:41.916000Z,2023-10-29T16:46:41.839668Z,1938.0,CQEHJXIE,338,36,Male,White,Greece,Greece,Greece,English,No,Part-Time
653e8512a9e8286e1cfbb400,601ef22cb13fd83f1f43393e,APPROVED,2023-10-29T16:15:18.917000Z,2023-10-29T17:06:53.129000Z,2023-10-29T17:06:53.708000Z,2023-10-29T17:06:53.631716Z,3095.0,CQEHJXIE,1212,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
653e8515972f8131e59d71e2,639f294882a3797f77a3dd81,APPROVED,2023-10-29T16:15:19.930000Z,2023-10-29T16:49:33.040000Z,2023-10-29T16:49:38.708000Z,2023-10-29T16:49:33.612846Z,2054.0,CQEHJXIE,510,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
653e8551b0a026a787266608,5f4e22f75080c69f541d9500,APPROVED,2023-10-29T16:16:17.229000Z,2023-10-29T17:05:27.565000Z,2023-10-29T19:35:14.550000Z,2023-10-29T17:05:28.067868Z,2951.0,"NeedMoreTime (Late Start, My Apologies)",1191,34,Male,Asian,Canada,Canada,Canada,English,Yes,Part-Time
653e855a468522d408460ef7,601997714cfca90e99caac7c,APPROVED,2023-10-29T16:16:46.774000Z,2023-10-29T16:49:31.795000Z,2023-10-29T16:49:35.091000Z,2023-10-29T16:49:32.483766Z,1966.0,CQEHJXIE,181,26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
653e931e3f5e32d2cafbb68c,60acb00e5317f439acef3aed,APPROVED,2023-10-29T17:15:14.702000Z,2023-10-29T17:53:33.229000Z,2023-10-29T17:53:33.904000Z,2023-10-29T17:53:33.830944Z,2299.0,CQEHJXIE,248,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
653e99dcc6855789727b6a43,5d445f038dd58b001afdeb32,APPROVED,2023-10-29T17:44:02.945000Z,2023-10-29T18:13:48.951000Z,2023-10-29T18:13:49.871000Z,2023-10-29T18:13:49.803210Z,1787.0,CQEHJXIE,1859,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
647e282d4a267b20d6a88a45,63eaa48e178ff1aadbf62963,APPROVED,2023-06-05T18:25:01.530000Z,2023-06-05T19:08:11.856000Z,2023-06-05T19:08:13Z,2023-06-05T19:08:12.926498Z,2591.0,CQEHJXIE,31,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
64835a2fe3cb7b2392843e99,5ea00187a318681b9bed99dd,APPROVED,2023-06-09T16:58:25.785000Z,2023-06-09T17:32:03.696000Z,2023-06-09T17:32:04.183000Z,2023-06-09T17:32:04.105127Z,2018.0,CQEHJXIE,925,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64835a812a5d3374cf9c4b19,60c9aea57a9973c70f73a981,APPROVED,2023-06-09T16:59:56.917000Z,2023-06-09T17:44:16.046000Z,2023-06-09T17:44:16.610000Z,2023-06-09T17:44:16.526122Z,2660.0,CQEHJXIE,409,46,Female,White,France,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64835aacf7418e3f1dbe5249,5c069c1566c9ab0001cd8625,APPROVED,2023-06-09T17:00:33.100000Z,2023-06-09T17:39:40.572000Z,2023-06-09T19:56:43.642000Z,2023-06-09T17:39:41.136869Z,2348.0,CK95X1BS,203,42,Female,White,Australia,United Kingdom,United Kingdom,English,No,Part-Time
64835ae6c6f4a8a9f8a06aa2,6000ab5e1467ea19ce99b8e1,APPROVED,2023-06-09T17:01:30.823000Z,2023-06-09T17:27:10.475000Z,2023-06-09T17:27:12.198000Z,2023-06-09T17:27:12.110960Z,1540.0,CQEHJXIE,478,25,Female,White,United States,United States,United States,English,No,Full-Time
6483603a280e5ccd961ea019,6447a4d5f7b73384c2494602,APPROVED,2023-06-09T17:24:12.288000Z,2023-06-09T18:04:42.989000Z,2023-06-09T18:04:43.601000Z,2023-06-09T18:04:45.213035Z,2431.0,CQEHJXIE,50,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
648368d3f7da01768ba05f4a,5fb6bb7c19e6d00f86af4633,APPROVED,2023-06-09T18:00:51.175000Z,2023-06-09T18:56:43.221000Z,2023-06-09T18:56:43.749000Z,2023-06-09T18:56:43.669571Z,3353.0,CQEHJXIE,420,25,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
