subject,domain,word,SIDNO
71,ANIMALS,Cheetah,1
71,ANIMALS,Dog,1
71,ANIMALS,Cat,1
71,ANIMALS,Pig,1
71,ANIMALS,Goat,1
71,ANIMALS,Lion,1
71,ANIMALS,Black Panther,1
71,ANIMALS,Snake,1
71,ANIMALS,Shark,1
71,ANIMALS,Elephant,1
71,ANIMALS,Gazelle,1
71,ANIMALS,Deer,1
71,ANIMALS,Monkey,1
71,ANIMALS,Orangutan,1
71,ANIMALS,Mouse,1
71,ANIMALS,Hamster,1
71,ANIMALS,Sheep,1
71,ANIMALS,Horse,1
71,ANIMALS,Rabbit,1
71,ANIMALS,Squirrel,1
71,ANIMALS,Muskrat,1
71,ANIMALS,Loon,1
71,ANIMALS,Eagle,1
71,ANIMALS,Hawk,1
71,ANIMALS,Raven,1
71,ANIMALS,Blue Bird,1
71,ANIMALS,Raptor,1
71,ANIMALS,Fox,1
71,ANIMALS,Cow,1
71,ANIMALS,Fisher,1
71,ANIMALS,Wolverine,1
71,ANIMALS,Badger,1
71,ANIMALS,Tiger,1
71,ANIMALS,Bronco,1
71,ANIMALS,Hair,1
71,ANIMALS,Turtle,1
71,ANIMALS,Crab,1
71,ANIMALS,Fish,1
71,ANIMALS,Blue Gill,1
71,ANIMALS,Manta Ray,1
71,ANIMALS,Snow Tiger,1
71,ANIMALS,Caribou,1
71,ANIMALS,Polar Bear,1
198,ANIMALS,Dog,2
198,ANIMALS,Cat,2
198,ANIMALS,Mouse,2
198,ANIMALS,Mouse,2
198,ANIMALS,Tiger,2
198,ANIMALS,Lion,2
198,ANIMALS,Bear,2
198,ANIMALS,Cheetah,2
198,ANIMALS,Skunk,2
198,ANIMALS,Raccoon,2
198,ANIMALS,Hamster,2
198,ANIMALS,Elephant,2
198,ANIMALS,Hippo,2
198,ANIMALS,Alligator,2
198,ANIMALS,Crocodile,2
198,ANIMALS,Boa Constrictor,2
198,ANIMALS,Viper,2
198,ANIMALS,Rattlesnake,2
198,ANIMALS,Rattlesnake,2
198,ANIMALS,Opossum,2
198,ANIMALS,Fox,2
198,ANIMALS,Deer,2
198,ANIMALS,Bobcat,2
198,ANIMALS,Bobcat,2
198,ANIMALS,Bird,2
198,ANIMALS,Beaver,2
198,ANIMALS,Groundhog,2
198,ANIMALS,Hyena,2
199,ANIMALS,Dog,3
199,ANIMALS,Cat,3
199,ANIMALS,Bear,3
199,ANIMALS,Monkey,3
199,ANIMALS,Pig,3
199,ANIMALS,Cow,3
199,ANIMALS,Horse,3
199,ANIMALS,Turkey,3
199,ANIMALS,Giraffe,3
199,ANIMALS,Elephant,3
