"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","checked_words","list_number"
50001,"occupations",1,"lawyer",3.841,3.841,2,"LEA","lawyer",10
50001,"occupations",2,"doctor",5.541,1.7,0,"LEA","doctor",10
50001,"occupations",3,"researcher",8.441,2.9,0,"LEA","researcher",10
50001,"occupations",4,"social_worker",18.041,9.6,0,"LEA","social worker",10
50001,"occupations",5,"politician",25.641,7.6,1,"LEA","politician",10
50001,"occupations",6,"writer",31.441,5.8,0,"LEA","writer",10
50001,"occupations",7,"singer",33.741,2.3,0,"LEA","singer",10
50001,"occupations",8,"musician",35.341,1.6,0,"LEA","musician",10
50001,"occupations",9,"chef",42.341,7,0,"LEA","chef",10
50001,"occupations",10,"secretary",47.341,5,0,"LEA","secretary",10
50001,"occupations",11,"nurse",59.041,11.7,0,"LEA","nurse",10
50001,"occupations",12,"audiologist",65.941,6.90000000000001,1,"LEA","audiologist",10
50001,"occupations",13,"speech_pathologist",72.141,6.2,0,"LEA","speech pathologist",10
50001,"occupations",14,"teacher",77.041,4.89999999999999,0,"LEA","teacher",10
50001,"occupations",15,"seamstress",87.141,10.1,1,"LEA","seamstress",10
50001,"occupations",16,"actor",90.741,3.59999999999999,1,"LEA","actor",10
50001,"occupations",17,"cashier",104.141,13.4,1,"LEA","cashier",10
50001,"occupations",18,"professor",124.841,20.7,0,"LEA","professor",10
50001,"occupations",19,"construction_worker",133.441,8.60000000000001,0,"LEA","construction worker",10
50001,"occupations",20,"manager",142.741,9.30000000000001,1,"LEA","manager",10
50001,"occupations",21,"firefighter",159.341,16.6,1,"LEA","firefighter",10
50001,"occupations",22,"police",162.541,3.19999999999999,0,"LEA","police",10
50001,"occupations",23,"surgeon",175.041,12.5,1,"LEA","surgeon",10
50008,"occupations",1,"receptionist",5.672,5.672,2,"LEA","receptionist",10
50008,"occupations",2,"elevator_operator",9.072,3.4,0,"LEA","elevator operator",10
50008,"occupations",3,"door_person",11.572,2.5,1,"LEA","door person",10
50008,"occupations",4,"doctor",16.172,4.6,0,"LEA","doctor",10
50008,"occupations",5,"nurse",16.872,0.699999999999999,0,"LEA","nurse",10
50008,"occupations",6,"nurse_assistant",21.872,5,1,"LEA","nurse assistant",10
50008,"occupations",7,"firefighter",28.172,6.3,0,"LEA","firefighter",10
50008,"occupations",8,"police",29.772,1.6,1,"LEA","police",10
50008,"occupations",9,"tax_collector",36.872,7.1,0,"LEA","tax collector",10
50008,"occupations",10,"accountant",40.172,3.3,1,"LEA","accountant",10
50008,"occupations",11,"dentist",49.272,9.1,1,"LEA","dentist",10
50008,"occupations",12,"professor",54.972,5.7,0,"LEA","professor",10
50008,"occupations",13,"administrative_assistant",64.672,9.7,0,"LEA","administrative assistant",10
50008,"occupations",14,"teacher",80.872,16.2,0,"LEA","teacher",10
50008,"occupations",15,"teacher_aid",82.372,1.5,0,"LEA","teacher aid",10
50008,"occupations",16,"principal",84.172,1.8,1,"LEA","principal",10
50008,"occupations",17,"grocer",90.172,6,0,"LEA","grocer",10
50008,"occupations",18,"cashier",103.372,13.2,1,"LEA","cashier",10
50008,"occupations",19,"technician",119.172,15.8,0,"LEA","technician",10
50008,"occupations",20,"welder",123.772,4.60000000000001,0,"LEA","welder",10
50008,"occupations",21,"maintenance_person",125.772,2,0,"LEA","maintenance person",10
50008,"occupations",22,"cook",130.772,4.99999999999999,1,"LEA","cook",10
50008,"occupations",23,"factory_worker",150.272,19.5,1,"LEA","factory worker",10
50008,"occupations",24,"therapist",161.672,11.4,1,"LEA","therapist",10
50008,"occupations",25,"gas_station_attendant",173.572,11.9,1,"LEA","gas station attendant",10
50010,"occupations",1,"doctor",2.652,2.652,2,"LEA","doctor",10
50010,"occupations",2,"teacher",3.552,0.9,1,"LEA","teacher",10
50010,"occupations",3,"professor",5.152,1.6,0,"LEA","professor",10
50010,"occupations",4,"CEO",7.452,2.3,1,"LEA","CEO",10
50010,"occupations",5,"CFO",8.752,1.3,0,"LEA","CFO",10
50010,"occupations",6,"accountant",10.552,1.8,1,"LEA","accountant",10
50010,"occupations",7,"auditor",13.152,2.6,0,"LEA","auditor",10
50010,"occupations",8,"writer",15.452,2.3,1,"LEA","writer",10
50010,"occupations",9,"author",16.652,1.2,0,"LEA","author",10
50010,"occupations",10,"producer",17.752,1.1,1,"LEA","producer",10
50010,"occupations",11,"actor",19.152,1.4,0,"LEA","actor",10
50010,"occupations",12,"musician",20.852,1.7,0,"LEA","musician",10
50010,"occupations",13,"scientist",25.952,5.1,1,"LEA","scientist",10
50010,"occupations",14,"volunteer",29.752,3.8,1,"LEA","volunteer",10
50010,"occupations",15,"manager",35.952,6.2,1,"LEA","manager",10
50010,"occupations",16,"marketer",37.652,1.7,0,"LEA","marketer",10
50010,"occupations",17,"advertiser",38.952,1.3,0,"LEA","advertiser",10
50010,"occupations",18,"salesperson",42.152,3.2,0,"LEA","salesperson",10
50010,"occupations",19,"customer_service",46.552,4.4,0,"LEA","customer service",10
50010,"occupations",20,"trainer",51.352,4.8,1,"LEA","trainer",10
50010,"occupations",21,"tutor",54.152,2.8,0,"LEA","tutor",10
