"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","checked_words","list_number"
50029,"occupations",1,"accounting",2.7115,2.7115,2,"LEA","accounting",6
50029,"occupations",2,"sales",5.6115,2.9,0,"LEA","sales",6
50029,"occupations",3,"realty",13.7115,8.1,0,"LEA","realty",6
50029,"occupations",4,"mowing_lawns",28.7115,15,1,"LEA","mowing lawns",6
50029,"occupations",5,"insurance",33.4115,4.7,1,"LEA","insurance",6
50029,"occupations",6,"psychologist",52.6115,19.2,1,"LEA","psychologist",6
50029,"occupations",7,"librarian",64.1115,11.5,1,"LEA","librarian",6
50029,"occupations",8,"pilot",81.5115,17.4,1,"LEA","pilot",6
50029,"occupations",9,"professional_athlete",97.5115,16,1,"LEA","professional athlete",6
50029,"occupations",10,"manager",160.5115,63,1,"LEA","manager",6
50029,"occupations",11,"CEO",164.3115,3.79999999999998,0,"LEA","CEO",6
50029,"occupations",12,"CFO",168.4115,4.09999999999999,0,"LEA","CFO",6
50030,"occupations",1,"doctor",2.30171966,2.30171966,2,"LEA","doctor",6
50030,"occupations",2,"lawyer",3.70171966,1.4,1,"LEA","lawyer",6
50030,"occupations",3,"teacher",5.10171966,1.4,1,"LEA","teacher",6
50030,"occupations",4,"plumber",6.70171966,1.6,1,"LEA","plumber",6
50030,"occupations",5,"cab_driver",8.10171966,1.4,1,"LEA","cab driver",6
50030,"occupations",6,"researcher",12.50171966,4.4,1,"LEA","researcher",6
50030,"occupations",7,"nurse",16.00171966,3.5,1,"LEA","nurse",6
50030,"occupations",8,"technician",18.20171966,2.2,0,"LEA","technician",6
50030,"occupations",9,"electrician",19.70171966,1.5,1,"LEA","electrician",6
50030,"occupations",10,"professor",24.40171966,4.7,1,"LEA","professor",6
50030,"occupations",11,"barista",29.90171966,5.5,1,"LEA","barista",6
50030,"occupations",12,"bartender",31.20171966,1.3,0,"LEA","bartender",6
50030,"occupations",13,"chef",33.90171966,2.7,0,"LEA","chef",6
50030,"occupations",14,"server",35.30171966,1.40000000000001,0,"LEA","server",6
50030,"occupations",15,"dietician",39.30171966,4,1,"LEA","dietician",6
50030,"occupations",16,"surgeon",41.50171966,2.2,1,"LEA","surgeon",6
50030,"occupations",17,"instructor",58.00171966,16.5,1,"LEA","instructor",6
50030,"occupations",18,"life_guard",60.60171966,2.6,0,"LEA","life guard",6
50030,"occupations",19,"beautician",72.00171966,11.4,1,"LEA","beautician",6
50030,"occupations",20,"designer",73.90171966,1.89999999999999,1,"LEA","designer",6
50030,"occupations",21,"architect",75.50171966,1.60000000000001,0,"LEA","architect",6
50030,"occupations",22,"librarian",77.80171966,2.3,1,"LEA","librarian",6
50030,"occupations",23,"tailor",84.90171966,7.09999999999999,1,"LEA","tailor",6
50030,"occupations",24,"truck_driver",92.30171966,7.40000000000001,1,"LEA","truck driver",6
50030,"occupations",25,"engineer",95.00171966,2.7,1,"LEA","engineer",6
50030,"occupations",26,"businessman",98.60171966,3.59999999999999,1,"LEA","businessman",6
50030,"occupations",27,"accountant",105.4017197,6.80000004,0,"LEA","accountant",6
50030,"occupations",28,"actuary",108.3017197,2.90000000000001,0,"LEA","actuary",6
50030,"occupations",29,"mortician",111.6017197,3.3,1,"LEA","mortician",6
50030,"occupations",30,"pathologist",118.0017197,6.39999999999999,0,"LEA","pathologist",6
50030,"occupations",31,"judge",121.4017197,3.40000000000001,1,"LEA","judge",6
50030,"occupations",32,"CEO",133.6017197,12.2,1,"LEA","CEO",6
50030,"occupations",33,"student",152.3017197,18.7,1,"LEA","student",6
50030,"occupations",34,"construction_worker",166.2017197,13.9,1,"LEA","construction worker",6
50030,"occupations",35,"police_officer",168.5017197,2.29999999999998,1,"LEA","police officer",6
50030,"occupations",36,"sheriff",176.3017197,7.80000000000001,0,"LEA","sheriff",6
50030,"occupations",37,"baler",177.7017197,1.40000000000001,0,"LEA","baler",6
50030,"occupations",38,"counselor",180.1017197,2.39999999999998,1,"LEA","counselor",6
50036,"occupations",1,"welder",2.575,2.575,2,"LEA","welder",6
50036,"occupations",2,"policeman",4.175,1.6,1,"LEA","policeman",6
50036,"occupations",3,"fireman",5.175,1,0,"LEA","fireman",6
50036,"occupations",4,"professor",7.375,2.2,1,"LEA","professor",6
50036,"occupations",5,"teacher",8.775,1.4,0,"LEA","teacher",6
50036,"occupations",6,"kindergarten_teacher",10.975,2.2,0,"LEA","kindergarten teacher",6
50036,"occupations",7,"nurse",13.175,2.2,1,"LEA","nurse",6
50036,"occupations",8,"daycare_counselor",16.675,3.5,0,"LEA","daycare counselor",6
50036,"occupations",9,"psychiatrist",18.975,2.3,1,"LEA","psychiatrist",6
50036,"occupations",10,"psychologist",19.975,1,0,"LEA","psychologist",6
50036,"occupations",11,"proctologist",23.875,3.9,0,"LEA","proctologist",6
50036,"occupations",12,"ophthalmologist",25.275,1.4,0,"LEA","ophthalmologist",6
50036,"occupations",13,"optometrist",26.775,1.5,0,"LEA","optometrist",6
50036,"occupations",14,"entomologist",29.775,3,0,"LEA","entomologist",6
50036,"occupations",15,"etymologist",30.675,0.900000000000002,0,"LEA","etymologist",6
50036,"occupations",16,"carpenter",37.275,6.6,1,"LEA","carpenter",6
50036,"occupations",17,"construction_worker",42.675,5.4,1,"LEA","construction worker",6
