item,log_count,count
apple,6.7978445542823325,6278336.0
orange,6.979244808779623,9533334.0
fish,7.344814257867427,22121484.0
tilapia,4.803702873166188,63636.0
shrimp,6.177499850277711,1504873.0
salmon,6.535997664047996,3435561.0
trout,6.393416722673426,2474097.0
beef,6.6625623551792055,4597930.0
pork,6.422526808414075,2645616.0
bacon,6.679321308757808,4778827.0
lettuce,6.0610224957188485,1150860.0
grape,6.249929558287609,1777991.0
banana,6.151067853906522,1416015.0
cucumber,5.790691816717609,617578.0
celery,6.039629031845235,1095542.0
asparagus,5.834790618408565,683582.0
artichoke,5.4002927121245285,251358.0
pickle,5.671443150876742,469292.0
onion,6.401925168616684,2523046.0
pepperoni,4.833758902092355,68196.0
squash,5.9781325637952625,950895.0
rice,6.983482535764799,9626813.0
peanut_butter,5.676114469107484,474367.0
jelly,6.145127075119138,1396777.0
bread,7.118235849342523,13129127.0
ice_cream,6.274085075740302,1879685.0
yogurt,5.868381666583144,738553.0
butter,6.8854337660319445,7681283.0
milk,7.233255898239914,17110232.0
raisin,5.576777729326871,377379.0
oatmeal,5.7231016886410755,528569.0
grit,5.823423362873886,665922.0
cheese,6.784949696617783,6094663.0
cottage_cheese,5.358878601810102,228496.0
cake,6.647085024084869,4436955.0
cherry,6.435047003374778,2722996.0
soup,6.613726100265831,4108905.0
potato,6.479696786238037,3017844.0
bean,6.446666069408464,2796830.0
sushi,5.3743578552162345,236787.0
lemon,6.535672411859495,3432989.0
grass,7.077487710423666,11953297.0
yam,5.491762180805206,310286.0
pear,6.100306774976266,1259815.0
steak,6.1208255516930565,1320765.0
pizza,6.127115817637239,1340034.0
lasagna,5.158335347841864,143991.0
spaghetti,5.757392232495996,571995.0
chip,6.43749799628812,2738407.0
turkey,6.767768346000089,5858256.0
mashed_potato,4.51061202578917,32405.0
cranberry,5.678091158260846,476531.0
pie,6.5285296459931015,3376989.0
duck,6.439638803016596,2751939.0
chicken,6.827585590887073,6723348.0
ham,6.4436162264451395,2777258.0
salami,5.098629883541261,125496.0
mozzarella,5.221810530020262,166652.0
fontina,4.29946371452845,19928.0
carrot,5.910082532706829,812985.0
strawberry,6.044711797863371,1108439.0
kiwi,5.053481804080292,113105.0
tomato,6.32868554073374,2131501.0
pig,6.6115429693402525,4088302.0
egg,6.89273315837189,7811477.0
lamb,6.675464876860283,4736580.0
feta_cheese,4.627898155557663,42452.0
pita_bread,4.522522477715504,33306.0
italian,7.162985981236379,14554121.0
cinnamon_roll,3.90848501887865,8100.0
pasta,6.077172337884288,1194462.0
ground,7.712648801054387,51599893.0
round,7.526680258545911,33626391.0
sirloin,5.116547974579905,130782.0
chuck,6.203570524136315,1597977.0
cracker,5.668189228089367,465789.0
goldfish,5.475262846751197,298719.0
pepper,6.692670611028421,4927999.0
parsley,6.10502827640163,1273586.0
hamburger,5.787621976527854,613228.0
hotdog,4.377634034247592,23858.0
french_fry,4.265972830860834,18449.0
bagel,5.144016583019354,139321.0
cereal,6.103664177162985,1269592.0
olive,6.673144907700392,4711345.0
chocolate,6.56937625081888,3710020.0
lollipop,4.860206200660094,72478.0
granola,4.9988650095946054,99739.0
cookie,6.057489231703468,1141535.0
brownie,5.407370506599221,255488.0
english_muffin,4.420549813532176,26336.0
muffin,5.515733469762588,327894.0
cupcake,4.75593580500694,57008.0
frozen_yogurt,4.641533598824432,43806.0
veal,5.902221616189981,798402.0
tofu,5.55397885200451,358079.0
grapefruit,5.622690552512651,419460.0
broccoli,5.735691496737634,544116.0
jello,4.757623745908389,57230.0
pudding,6.068648491507263,1171247.0
calzone,4.066214075471244,11647.0
meat,7.0808397582651805,12045914.0
vegetable,6.68233004101221,4812049.0
fruit,7.197499387404151,15757938.0
lime,6.674810362960048,4729447.0
zucchini,5.535500455860592,343163.0
cantaloupe,5.081804408785733,120727.0
pineapple,5.909011750532273,810983.0
coconut,6.077807791737128,1196211.0
pea,6.095815602871867,1246854.0
corn,7.059617748642334,11471435.0
macaroni,5.581387520766608,381406.0
breadstick,3.7638022240745928,5805.0
roll,6.9687402268366725,9305511.0
mango,5.658147867764232,455143.0
ice_creams,4.601375438291828,39937.0
cauliflower,5.610043410400698,407421.0
soybean,5.809731378522371,645255.0
kidney,6.6465618276899345,4431613.0
raspberry,5.711150653159066,514222.0
blueberry,5.49428402789165,312093.0
hummus,4.693621439472935,49388.0
salad,6.493777206364505,3117290.0
baked_potato,4.8871107031248835,77110.0
sweet_potato,5.419631971103524,262804.0
beet,5.919694039595985,831178.0
sandwich,6.319168334964501,2085299.0
provolone_cheese,3.8459038388987827,7013.0
cheddar_cheese,5.194283952080422,156417.0
brie_cheese,3.8007857903277626,6321.0
taco,5.282053102229195,191449.0
burrito,4.824145366962221,66703.0
waffle,5.125985210244011,133655.0
pastry,5.944253620122504,879536.0
potato_chip,4.475278838875384,29873.0
applesauce,5.171451459664138,148406.0
candy,6.420693916815716,2634474.0
cheeseburger,4.830966987970723,67759.0
chili,5.98664008279055,969706.0
spinach,5.993913031236108,986082.0
stuffing,5.86654311342563,735433.0
ravioli,5.038826730501417,109352.0
